Id ;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
168; 01:31:12.514;LEC;16; 00:01:34.142;18.0;2.0;34.703;29.663;29.776;HARD;11.0;Ferrari;4.0
169; 01:32:46.454;LEC;16; 00:01:33.940;19.0;2.0;34.7;29.52;29.72;HARD;12.0;Ferrari;4.0
170; 01:34:20.403;LEC;16; 00:01:33.949;20.0;2.0;34.734;29.551;29.664;HARD;13.0;Ferrari;4.0
171; 01:35:54.125;LEC;16; 00:01:33.722;21.0;2.0;34.562;29.535;29.625;HARD;14.0;Ferrari;4.0
172; 01:37:27.827;LEC;16; 00:01:33.702;22.0;2.0;34.505;29.563;29.634;HARD;15.0;Ferrari;4.0
173; 01:39:01.429;LEC;16; 00:01:33.602;23.0;2.0;34.525;29.498;29.579;HARD;16.0;Ferrari;4.0
174; 01:40:34.940;LEC;16; 00:01:33.511;24.0;2.0;34.499;29.443;29.569;HARD;17.0;Ferrari;4.0
175; 01:42:08.076;LEC;16; 00:01:33.136;25.0;2.0;34.411;29.258;29.467;HARD;18.0;Ferrari;4.0
176; 01:43:41.586;LEC;16; 00:01:33.510;26.0;2.0;34.95;29.334;29.226;HARD;19.0;Ferrari;4.0
177; 01:45:14.737;LEC;16; 00:01:33.151;27.0;2.0;34.087;29.421;29.643;HARD;20.0;Ferrari;3.0
178; 01:46:47.939;LEC;16; 00:01:33.202;28.0;2.0;33.992;29.51;29.7;HARD;21.0;Ferrari;3.0
179; 01:48:21.244;LEC;16; 00:01:33.305;29.0;2.0;34.229;29.48;29.596;HARD;22.0;Ferrari;3.0
180; 01:49:54.107;LEC;16; 00:01:32.863;30.0;2.0;34.034;29.334;29.495;HARD;23.0;Ferrari;3.0
181; 01:51:26.713;LEC;16; 00:01:32.606;31.0;2.0;33.852;29.225;29.529;HARD;24.0;Ferrari;3.0
182; 01:52:59.672;LEC;16; 00:01:32.959;32.0;2.0;33.998;29.346;29.615;HARD;25.0;Ferrari;3.0
183; 01:54:32.736;LEC;16; 00:01:33.064;33.0;2.0;34.074;29.404;29.586;HARD;26.0;Ferrari;3.0
184; 01:56:05.833;LEC;16; 00:01:33.097;34.0;2.0;34.015;29.529;29.553;HARD;27.0;Ferrari;3.0
185; 01:57:38.846;LEC;16; 00:01:33.013;35.0;2.0;34.047;29.381;29.585;HARD;28.0;Ferrari;3.0
186; 01:59:11.761;LEC;16; 00:01:32.915;36.0;2.0;33.953;29.399;29.563;HARD;29.0;Ferrari;3.0
187; 02:00:44.435;LEC;16; 00:01:32.674;37.0;2.0;33.871;29.276;29.527;HARD;30.0;Ferrari;3.0
188; 02:02:17.067;LEC;16; 00:01:32.632;38.0;2.0;34.03;29.157;29.445;HARD;31.0;Ferrari;3.0
189; 02:03:49.789;LEC;16; 00:01:32.722;39.0;2.0;33.983;29.226;29.513;HARD;32.0;Ferrari;3.0
190; 02:05:22.071;LEC;16; 00:01:32.282;40.0;2.0;33.896;29.111;29.275;HARD;33.0;Ferrari;3.0
191; 02:06:54.575;LEC;16; 00:01:32.504;41.0;2.0;33.936;29.187;29.381;HARD;34.0;Ferrari;3.0
192; 02:08:27.235;LEC;16; 00:01:32.660;42.0;2.0;34.077;29.135;29.448;HARD;35.0;Ferrari;3.0
193; 02:09:59.791;LEC;16; 00:01:32.556;43.0;2.0;34.02;29.165;29.371;HARD;36.0;Ferrari;3.0
194; 02:11:32.470;LEC;16; 00:01:32.679;44.0;2.0;33.979;29.234;29.466;HARD;37.0;Ferrari;3.0
195; 02:13:05.022;LEC;16; 00:01:32.552;45.0;2.0;33.883;29.319;29.35;HARD;38.0;Ferrari;3.0
196; 02:14:37.074;LEC;16; 00:01:32.052;46.0;2.0;33.737;29.074;29.241;HARD;39.0;Ferrari;3.0
197; 02:16:09.103;LEC;16; 00:01:32.029;47.0;2.0;33.634;29.122;29.273;HARD;40.0;Ferrari;3.0
198; 02:17:42.467;LEC;16; 00:01:33.364;48.0;2.0;33.936;29.713;29.715;HARD;41.0;Ferrari;3.0
199; 02:19:14.398;LEC;16; 00:01:31.931;49.0;2.0;33.682;28.97;29.279;HARD;42.0;Ferrari;3.0
200; 02:20:46.030;LEC;16; 00:01:31.632;50.0;2.0;33.75;28.668;29.214;HARD;43.0;Ferrari;3.0
201; 01:01:26.554;STR;18; 00:01:42.429;1.0;1.0;35771;30.865;30.889;MEDIUM;2.0;Aston Martin;9.0
202; 01:03:02.648;STR;18; 00:01:36.094;2.0;1.0;35.771;30.16;30.163;MEDIUM;3.0;Aston Martin;9.0
203; 01:04:38.438;STR;18; 00:01:35.790;3.0;1.0;35.453;30.148;30.189;MEDIUM;4.0;Aston Martin;9.0
204; 01:06:14.173;STR;18; 00:01:35.735;4.0;1.0;35.301;30.247;30.187;MEDIUM;5.0;Aston Martin;9.0
205; 01:07:49.733;STR;18; 00:01:35.560;5.0;1.0;35.293;30.188;30.079;MEDIUM;6.0;Aston Martin;9.0
206; 01:09:00.241;STR;18; 00:01:45.460;6.0;1.0;37303;31169;30765;MEDIUM;7.0;Aston Martin;18.0
